id,product_name,price,quantity,order_date,status,score,category
1,MacBook Pro,1599.99,10,2024-01-15,shipped,4.5,electronics
2,iPhone 15,899.00,25,2024-01-16,shipped,4.8,electronics
3,Wireless Mouse,29.99,30,2024-01-17,pending,4.2,accessories
4,USB-C Cable,15.50,100,2024-01-18,shipped,4.3,accessories
5,Mechanical Keyboard,129.99,50,2024-01-19,processing,4.6,accessories
6,Monitor 27,349.00,15,2024-01-20,shipped,4.3,electronics
7,Desk Mat,25.00,75,2024-01-21,shipped,4.1,accessories
8,Webcam HD,79.99,30,2024-01-22,returned,3.9,electronics
9,Laptop Stand,45.00,40,2024-01-23,shipped,4.4,accessories
10,Headphones Pro,299.99,20,2024-01-24,shipped,4.7,electronics
