time_mjd,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_uncertainty
51544.5,6959437.32,-174281.56,357452.89,123.45,-7567.89,1234.56,10.0
51544.6,6821345.78,-892345.21,1023456.78,345.67,-7234.56,1456.78,10.0
51544.7,6543210.12,-1567890.12,1654321.23,567.89,-6890.12,1678.90,10.0
51544.8,6135792.46,-2234567.89,2284567.89,789.01,-6543.21,1890.12,10.0
51544.9,5609876.54,-2901234.56,2912345.67,1011.23,-6189.01,2101.23,10.0
51545.0,4987654.32,-3567890.12,3537654.32,1233.45,-5827.16,2312.34,10.0
51545.1,4273456.78,-4234567.89,4158024.69,1455.67,-5458.02,2523.45,10.0
51545.2,3476543.21,-4901234.56,4771604.93,1677.89,-5081.94,2734.56,10.0
51545.3,2604938.27,-5567890.12,5376419.75,1900.12,-4699.28,2945.67,10.0
51545.4,1666666.66,-6234567.89,5970523.45,2122.34,-4310.39,3156.78,10.0
51545.5,669135.80,-6901234.56,6551975.30,2344.56,-3915.63,3367.89,10.0
51545.6,-379629.62,-7567890.12,7118845.67,2566.78,-3515.37,3579.01,10.0
51545.7,-1472222.22,-8234567.89,7669217.28,2789.01,-3109.97,3790.12,10.0
51545.8,-2611111.11,-8901234.56,8201185.18,3011.23,-2699.81,4001.23,10.0
51545.9,-3796296.29,-9567890.12,8712857.14,3233.45,-2285.26,4212.34,10.0
51546.0,-5027777.77,-10234567.89,9202354.32,3455.67,-1866.70,4423.45,10.0
